CUR,0.018,0.007,0.004,0,0,23.85,0,1,0
CUR,0.018,0.009,0.003,0,0,23.85,0,2,0
CUR,1.039,0.595,0.162,0,27,23.81,776,2,0
CUR,1.120,0.539,0.204,0,29,23.81,1311,2,0
CUR,1.120,0.534,0.201,0,29,23.84,1348,2,0
CUR,1.114,0.529,0.201,0,29,23.82,1349,2,0
CUR,1.109,0.533,0.201,0,29,23.84,1349,2,0
CUR,1.114,0.533,0.202,0,29,23.82,1349,2,0
CUR,1.109,0.529,0.025,0,0,23.85,257,3,3
CUR,0.018,0.008,0.003,0,0,23.85,149,3,3
CUR,0.024,0.009,0.003,0,0,23.85,8,3,3
